256 1 LOSS,256 1 ACCURACY,512 1 LOSS,512 1 ACCURACY,1024 1 LOSS,1024 1 ACCURACY,256 5 LOSS,256 5 ACCURACY,512 5 LOSS,512 5 ACCURACY,1024 5 LOSS,1024 5 ACCURACY,256 10 LOSS,256 10 ACCURACY,512 10 LOSS,512 10 ACCURACY,1024 10 LOSS,1024 10 ACCURACY
"[0.09235777124260734, 0.09041216214676748, 0.07838158791768132, 0.062487915820213104, 0.05149805826613485, 0.044268802132882173, 0.03965745742324847, 0.03616518808452911, 0.03301959481430165, 0.030039770468116317, 0.027223431982232583, 0.024593444058569836, 0.022166240163890162, 0.01994900778959102, 0.01794126938103671, 0.01613669508351329, 0.014524735466368528, 0.013092050838882808, 0.011823713882230443, 0.010704174680272262, 0.00971799508998789, 0.008850372211700267, 0.00808747969142618, 0.007416660288820357, 0.0068265035162619015, 0.006306840076935332, 0.005848681592977812, 0.005444129604488706, 0.005086271984732353, 0.004769078612221338, 0.004487302620643478, 0.004236389654873199, 0.004012395404576094, 0.0038119108369996865, 0.0036319944223437033, 0.0034701107850837547, 0.0033240753951052984, 0.0031920050713502386, 0.0030722741956552744, 0.0029634765887068004, 0.002864392928998593, 0.0027739633844592743, 0.002691264840971849, 0.002615491880149821, 0.0025459405978281377, 0.0024819944806402264, 0.002423111729294803, 0.002368813442485876, 0.0023186720863727036, 0.0022723003212721435]",0.9232,,,,,,,,,,,,,,,,
,,"[0.09364423411989896, 0.08607804985578207, 0.07141560879836326, 0.06278272381695346, 0.057378464161023976, 0.05361884128927937, 0.05039300792424687, 0.04708071827973788, 0.043629064650791444, 0.04013547976421296, 0.036695479095497426, 0.03338202375671959, 0.03024743595764017, 0.027326080779043155, 0.024636904286019477, 0.022186347435602004, 0.019971418084191853, 0.017982521604954272, 0.016205809563775212, 0.014624990256200596, 0.013222655424481427, 0.011981218715724284, 0.010883561254077771, 0.009913461868135002, 0.009055868637000333, 0.0082970513600714, 0.007624663236148558, 0.007027733742932099, 0.006496611526625817, 0.006022873941928427, 0.005599217341831339, 0.005219339081718949, 0.0048778190377929105, 0.004570005826897397, 0.004291911011751371, 0.00404011320900276, 0.0038116729720061387, 0.003604058499798675, 0.003415081632800339, 0.0032428432526888317, 0.003085687085336397, 0.0029421609418255543, 0.002810984532123467, 0.0026910230701440952, 0.0025812659179260387, 0.002480809494917688, 0.0023888436362663507, 0.0023046405519622816, 0.002227545532957702, 0.002156968578412529]",0.917,,,,,,,,,,,,,,
,,,,"[0.09345423503968199, 0.0781306794211171, 0.0664926386493915, 0.06291256685308386, 0.06092327372192852, 0.05933863859619044, 0.057267286945732264, 0.0545960762390282, 0.05146776170413536, 0.048043272636043764, 0.04446937556086529, 0.0408755784982822, 0.037369691082494674, 0.034033986294879116, 0.030924359142450286, 0.028072524036363726, 0.025490208614333477, 0.02317414441718864, 0.021110904531282004, 0.019281011580327044, 0.01766208579035536, 0.01623104996166109, 0.014965542205480497, 0.013844730883418569, 0.012849714446835522, 0.011963652723282432, 0.011171735813633215, 0.010461062108695688, 0.009820471053264999, 0.009240358614248404, 0.008712492055705881, 0.008229833604863124, 0.007786378339103069, 0.007377009059903343, 0.006997369357835584, 0.006643755058854221, 0.006313023443051798, 0.006002518799986434, 0.005710011932700766, 0.005433650284961547, 0.005171914815888018, 0.0049235799734156606, 0.004687674186658159, 0.004463439803817563, 0.004250292751945129, 0.004047783029143021, 0.003855557471004061, 0.003673326237286327, 0.0035008342619061382, 0.003337838537843399]",0.9098,,,,,,,,,,,,
,,,,,,"[0.09111160655384404, 0.09110856600636943, 0.09110551275923826, 0.0911024469733008, 0.09109936881018775, 0.09109627843234312, 0.09109317600305615, 0.09109006168649189, 0.09108693564772086, 0.09108379805274718, 0.09108064906853575, 0.09107748886303771, 0.09107431760521474, 0.09107113546506178, 0.0910679426136282, 0.09106473922303758, 0.09106152546650567, 0.0910583015183569, 0.09105506755403904, 0.09105182375013646, 0.0910485702843812, 0.09104530733566261, 0.09104203508403524, 0.09103875371072462, 0.09103546339813148, 0.09103216432983405, 0.09102885669058847, 0.09102554066632736, 0.09102221644415667, 0.0910188842123503, 0.09101554416034327, 0.09101219647872275, 0.09100884135921726, 0.09100547899468422, 0.09100210957909537, 0.09099873330752051, 0.09099535037610951, 0.09099196098207235, 0.09098856532365748, 0.0909851636001284, 0.0909817560117386, 0.09097834275970482, 0.09097492404617838, 0.0909715000742153, 0.09096807104774449, 0.09096463717153451, 0.09096119865115905, 0.09095775569296023, 0.09095430850401152, 0.09095085729207827]",0.1024,,,,,,,,,,
,,,,,,,,"[0.09132769186377364, 0.09132562210660641, 0.09132344751661045, 0.09132116946018382, 0.09131878928025808, 0.0913163082982699, 0.09131372781619582, 0.09131104911863325, 0.09130827347490864, 0.09130540214119695, 0.09130243636263825, 0.09129937737543573, 0.09129622640892433, 0.09129298468759726, 0.09128965343308067, 0.09128623386604648, 0.09128272720805561, 0.09127913468332385, 0.09127545752040386, 0.09127169695377832, 0.09126785422535814, 0.09126393058588347, 0.09125992729622276, 0.09125584562856774, 0.09125168686752314, 0.09124745231108833, 0.0912431432715313, 0.09123876107615403, 0.09123430706794942, 0.09122978260615092, 0.09122518906667458, 0.09122052784245632, 0.09121580034368494, 0.09121100799793297, 0.09120615225018813, 0.09120123456278711, 0.09119625641525438, 0.09119121930404939, 0.09118612474222454, 0.09118097425899749, 0.09117576939924074, 0.09117051172289241, 0.09116520280429136, 0.09115984423144025, 0.09115443760520132, 0.09114898453842706, 0.09114348665503143, 0.09113794558900444, 0.0911323629833751, 0.09112674048912617]",0.1024,,,,,,,,
,,,,,,,,,,"[0.09125825452133582, 0.09126928732636834, 0.0912794791866679, 0.09128884813326868, 0.09129741302401503, 0.09130519339153101, 0.09131220930216784, 0.09131848122516338, 0.09132402991150765, 0.09132887628224709, 0.0913330413261669, 0.09133654600694711, 0.09133941117998634, 0.09134165751912063, 0.09134330545343754, 0.09134437511429731, 0.09134488629254135, 0.0913448584056914, 0.09134431047475558, 0.0913432611100525, 0.09134172850527801, 0.09133973043886949, 0.09133728428158996, 0.09133440700916333, 0.09133111521874814, 0.09132742514804369, 0.09132335269587058, 0.0913189134431624, 0.09131412267342705, 0.09130899539188739, 0.09130354634267172, 0.09129779002359353, 0.09129174069822307, 0.09128541240510593, 0.09127881896411805, 0.09127197398006198, 0.09126489084369924, 0.09125758273048137, 0.0912500625972882, 0.09124234317750587, 0.09123443697478427, 0.0912263562558068, 0.09121811304238707, 0.09120971910318013, 0.09120118594526619, 0.0911925248058299, 0.0911837466441251, 0.09117486213388197, 0.09116588165628176, 0.09115681529359951]",0.1024,,,,,,
,,,,,,,,,,,,"[0.09111187813418017, 0.09110881022858605, 0.09110572938565051, 0.09110263577339249, 0.09109952956065072, 0.09109641091711515, 0.09109328001335792, 0.09109013702086252, 0.09108698211205216, 0.0910838154603167, 0.0910806372400383, 0.09107744762661549, 0.09107424679648589, 0.09107103492714737, 0.09106781219717788, 0.09106457878625311, 0.09106133487516302, 0.0910580806458266, 0.09105481628130438, 0.09105154196580999, 0.09104825788471932, 0.09104496422457799, 0.09104166117310707, 0.09103834891920702, 0.09103502765295932, 0.09103169756562676, 0.09102835884965144, 0.09102501169865093, 0.09102165630741267, 0.09101829287188627, 0.09101492158917387, 0.09101154265751879, 0.09100815627629211, 0.09100476264597733, 0.09100136196815334, 0.0909979544454752, 0.0909945402816535, 0.0909911196814315, 0.09098769285056071, 0.09098425999577459, 0.09098082132476047, 0.09097737704613004, 0.09097392736938784, 0.09097047250489804, 0.09096701266385011, 0.09096354805822261, 0.09096007890074523, 0.09095660540485986, 0.09095312778468004, 0.09094964625494875]",0.1024,,,,
,,,,,,,,,,,,,,"[0.09132782604138709, 0.091325761672733, 0.09132359231226446, 0.09132131933454447, 0.09131894408998417, 0.09131646790683397, 0.09131389209324117, 0.09131121793935472, 0.09130844671945863, 0.09130557969411862, 0.09130261811232586, 0.09129956321362397, 0.09129641623020648, 0.09129317838897318, 0.09128985091353434, 0.09128643502615358, 0.09128293194962113, 0.0912793429090491, 0.09127566913358313, 0.09127191185802416, 0.09126807232435528, 0.09126415178317024, 0.09126015149499961, 0.091256072731532, 0.09125191677672871, 0.09124768492782999, 0.09124337849625203, 0.09123899880837458, 0.09123454720621918, 0.09123002504801829, 0.09122543370867654, 0.0912207745801254, 0.09121604907157252, 0.09121125860964813, 0.09120640463845034, 0.09120148861949176, 0.09119651203155027, 0.09119147637042682, 0.09118638314861291, 0.09118123389487129, 0.09117603015373307, 0.09117077348491517, 0.0911654654626605, 0.09116010767500622, 0.09115470172298254, 0.09114924921974689, 0.09114375178965681, 0.09113821106728623, 0.09113262869638877, 0.09112700632881252]",0.1024,,
,,,,,,,,,,,,,,,,"[0.09125898568422272, 0.09126993413903714, 0.09128005526276285, 0.09128936656675044, 0.0912978863432638, 0.09130563352426221, 0.09131262755058142, 0.09131888825066083, 0.09132443572821687, 0.0913292902585098, 0.09133347219306413, 0.09133700187287384, 0.09133989955024066, 0.09134218531945118, 0.09134387905649735, 0.09134500036798635, 0.09134556854927764, 0.0913456025517426, 0.09134512095886718, 0.09134414197073966, 0.09134268339628494, 0.09134076265244366, 0.09133839676936065, 0.0913356024005472, 0.0913323958369254, 0.09132879302364964, 0.09132480957863029, 0.09132046081175396, 0.0913157617438983, 0.0913107271249643, 0.09130537145029563, 0.09129970897500451, 0.09129375372587592, 0.09128751951066413, 0.09128101992472756, 0.09127426835505657, 0.0912672779818444, 0.09126006177781877, 0.09125263250560409, 0.09124500271341204, 0.09123718472937381, 0.09122919065482385, 0.09122103235683579, 0.09121272146028683, 0.09120426933970369, 0.09119568711111121, 0.09118698562407562, 0.09117817545410317, 0.09116926689552571, 0.09116026995497903]",0.1024
